,Date,Open,High,Low,Close,Adj Close,Volume,up_down,Mean Score,Mean Magnitude
0,2020-01-02,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,6985.47021484375,20802083465,1,-7.450580596923829e-10,0.770000009983778
1,2020-01-03,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,7344.88427734375,28111481032,0,0.2200000010430813,1.5699999541044236
2,2020-01-04,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,7410.65673828125,18444271275,1,0.10000000149011612,1.1200000137090682
3,2020-01-05,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,7411.3173828125,19725074095,1,2.9802322387695314e-09,0.8699999921023845
4,2020-01-06,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,7769.21923828125,23276261598,1,-0.009999999403953552,0.5600000008940696
5,2020-01-07,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,8163.6923828125,28767291327,1,-0.05,1.3399999856948852
6,2020-01-08,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,8079.86279296875,31672559265,1,-0.05999999940395355,1.070000022649765
7,2020-01-09,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,7879.0712890625,24045990466,0,0.009999999403953552,0.6900000125169754
8,2020-01-10,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,8166.55419921875,28714583844,0,-0.039999999850988385,1.0599999874830246
9,2020-01-11,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,8037.53759765625,25521165085,1,-0.07000000104308128,0.8100000113248825
10,2020-01-12,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,8192.494140625,22903438381,0,0.07000000253319741,0.5500000037252903
11,2020-01-13,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,8144.1943359375,22482910688,1,0.030000001192092896,0.5200000055134296
12,2020-01-14,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,8827.7646484375,44841784107,0,0.15000000447034836,0.9500000216066837
13,2020-01-15,8825.34375,8890.1171875,8657.1875,8807.0107421875,8807.0107421875,40102834650,1,0.07000000178813934,0.9899999909102917
14,2020-01-16,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,8723.7861328125,31313981931,0,-0.06000000312924385,0.4700000032782555
15,2020-01-17,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,8929.0380859375,36372139320,0,2.2351741790771484e-09,1.1799999915063382
16,2020-01-18,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,8942.80859375,32337772627,1,0.05000000149011612,0.7100000068545341
17,2020-01-19,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,8706.2451171875,34217320471,1,-0.219999997317791,0.8599999956786633
18,2020-01-20,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,8657.642578125,26422375678,0,-0.010000000894069671,1.1699999928474427
19,2020-01-21,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,8745.89453125,24097418512,0,0.0800000011920929,0.9199999995529652
20,2020-01-22,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,8680.8759765625,22600204051,1,0.0,0.7600000068545342
21,2020-01-23,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,8406.515625,25770680779,0,0.16000000312924384,0.7000000134110451
22,2020-01-24,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,8445.4345703125,24397913026,0,0.05000000223517418,1.0700000166893004
23,2020-01-25,8440.119140625,8458.453125,8296.21875,8367.84765625,8367.84765625,19647331549,1,-0.11000000163912774,0.8500000193715096
24,2020-01-26,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,8596.830078125,22177678796,0,-1.4901161193847657e-09,0.8500000074505806
25,2020-01-27,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,8909.8193359375,28647338393,1,0.06999999880790711,0.9699999995529651
26,2020-01-28,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,9358.58984375,34398744403,1,-0.020000002533197402,1.089999981224537
27,2020-01-29,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,9316.6298828125,30682598115,1,0.05999999865889549,1.150000023841858
28,2020-01-30,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,9508.9931640625,32378792851,0,0.08999999985098839,1.2299999937415123
29,2020-01-31,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,9350.529296875,29432489719,1,0.07000000178813934,0.5499999992549419
30,2020-02-01,9346.357421875,9439.3232421875,9313.2392578125,9392.875,9392.875,25922656496,0,-0.08000000417232514,0.6800000131130218
31,2020-02-02,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,9344.365234375,30835736946,1,0.1300000011920929,0.8200000017881394
32,2020-02-03,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,9293.521484375,30934096509,0,0.010000000149011612,0.8399999924004078
33,2020-02-04,9292.841796875,9331.265625,9112.8115234375,9180.962890625,9180.962890625,29893183716,0,-0.05000000298023224,0.9599999882280826
34,2020-02-05,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,9613.423828125,35222060874,0,-0.06000000014901161,0.7300000041723251
35,2020-02-06,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,9729.8017578125,37628823716,1,0.13000000044703483,1.639999983459711
36,2020-02-07,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,9795.943359375,34522718159,1,0.10000000149011612,0.8900000050663948
37,2020-02-08,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,9865.119140625,35172043762,1,-0.009999999403953552,1.1300000205636025
38,2020-02-09,9863.89453125,10129.435546875,9850.392578125,10116.673828125,10116.673828125,35807884663,1,0.1200000025331974,0.8100000075995922
39,2020-02-10,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,9856.611328125,39386548075,1,0.10000000074505806,1.180000016093254
40,2020-02-11,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,10208.236328125,37648059389,0,-0.009999999403953552,1.0599999904632569
41,2020-02-12,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,10326.0546875,43444303830,1,0.020000001043081285,1.3799999929964542
42,2020-02-13,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,10214.3798828125,49356071373,1,0.06000000387430191,0.8900000028312206
43,2020-02-14,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,10312.1162109375,43338264162,0,0.1100000023841858,1.7999999850988389
44,2020-02-15,10313.8564453125,10341.5556640625,9874.427734375,9889.4248046875,9889.4248046875,43865054831,1,-0.019999996572732926,0.8900000013411045
45,2020-02-16,9889.1796875,10053.96875,9722.38671875,9934.43359375,9934.43359375,43374780305,0,-0.10999999791383744,0.8499999932944775
46,2020-02-17,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,9690.142578125,45998298413,1,-0.14000000357627868,0.8600000120699406
47,2020-02-18,9691.23046875,10161.935546875,9632.3828125,10141.99609375,10141.99609375,47271023953,0,0.020000000298023225,0.9000000037252903
48,2020-02-19,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,9633.38671875,46992019710,1,0.04000000208616257,0.4500000037252903
49,2020-02-20,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,9608.4755859375,44925260237,0,-0.07000000104308128,0.980000016093254
50,2020-02-21,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,9686.44140625,40930547513,0,-0.0800000011920929,0.3500000037252903
51,2020-02-22,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,9663.181640625,35838025154,1,0.17000000178813934,0.8900000095367432
52,2020-02-23,9663.318359375,9937.404296875,9657.791015625,9924.515625,9924.515625,41185185761,0,0.14000000283122063,1.2600000008940697
53,2020-02-24,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,9650.1748046875,45080496648,1,-0.2300000011920929,1.4600000083446503
54,2020-02-25,9651.3125,9652.7373046875,9305.021484375,9341.705078125,9341.705078125,42515259129,0,7.450580596923829e-10,0.940000006556511
55,2020-02-26,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,8820.5224609375,50420050762,0,-0.1,1.100000011920929
56,2020-02-27,8825.09375,8932.892578125,8577.19921875,8784.494140625,8784.494140625,45470195695,0,-0.21000000089406967,1.0300000071525575
57,2020-02-28,8788.728515625,8890.4560546875,8492.9326171875,8672.455078125,8672.455078125,44605450443,0,0.04000000208616257,1.1100000031292439
58,2020-02-29,8671.212890625,8775.6318359375,8599.5087890625,8599.5087890625,8599.5087890625,35792392544,0,0.13999999687075615,1.269999974966049
59,2020-03-01,8599.7587890625,8726.796875,8471.212890625,8562.4541015625,8562.4541015625,35349164300,0,-0.09999999925494193,0.5899999968707561
60,2020-03-02,8563.2646484375,8921.30859375,8532.630859375,8869.669921875,8869.669921875,42857674409,0,-0.009999997913837433,0.95
61,2020-03-03,8865.3876953125,8901.5986328125,8704.990234375,8787.7861328125,8787.7861328125,42386715821,1,-0.0800000011920929,1.3600000083446502
62,2020-03-04,8788.5419921875,8843.3662109375,8712.431640625,8755.24609375,8755.24609375,34746706368,0,-0.10999999940395355,1.0900000028312207
63,2020-03-05,8760.28515625,9142.0546875,8757.25390625,9078.7626953125,9078.7626953125,39698054597,0,0.10000000596046447,0.9100000068545342
64,2020-03-06,9078.30859375,9167.6953125,9032.0791015625,9122.5458984375,9122.5458984375,40826885651,1,-0.020000001043081285,0.9899999961256981
65,2020-03-07,9121.6005859375,9163.220703125,8890.744140625,8909.9541015625,8909.9541015625,36216930370,1,0.040000001341104506,0.6699999943375587
66,2020-03-08,8908.2060546875,8914.34375,8105.2529296875,8108.1162109375,8108.1162109375,39973102121,0,-0.020000000298023225,0.8000000104308128
67,2020-03-09,8111.146484375,8177.79345703125,7690.09814453125,7923.64453125,7923.64453125,46936995808,0,0.019999996572732926,1.429999989271164
68,2020-03-10,7922.14697265625,8136.9453125,7814.76318359375,7909.7294921875,7909.7294921875,42213940994,0,0.11000000163912774,1.2000000014901162
69,2020-03-11,7910.08984375,7950.814453125,7642.8125,7911.43017578125,7911.43017578125,38682762605,0,0.010000000149011612,0.8000000059604645
70,2020-03-12,7913.6162109375,7929.1162109375,4860.35400390625,4970.7880859375,4970.7880859375,53980357243,1,0.009999998658895493,0.9299999959766865
71,2020-03-13,5017.8310546875,5838.11474609375,4106.98095703125,5563.70703125,5563.70703125,74156772075,0,-0.3000000022351742,1.1400000214576722
72,2020-03-14,5573.07763671875,5625.2265625,5125.0693359375,5200.3662109375,5200.3662109375,36154506008,1,0.009999999403953552,0.8700000129640102
73,2020-03-15,5201.06689453125,5836.64501953125,5169.283203125,5392.31494140625,5392.31494140625,33997889639,0,7.450580596923829e-10,1.1500000096857548
74,2020-03-16,5385.2294921875,5385.2294921875,4575.35791015625,5014.47998046875,5014.47998046875,45368026430,1,-0.16000000312924384,0.5500000037252903
75,2020-03-17,5002.578125,5371.3486328125,4981.9091796875,5225.62939453125,5225.62939453125,38622642935,0,-0.11000000163912774,1.1600000061094762
76,2020-03-18,5227.11376953125,5331.833984375,5069.3359375,5238.4384765625,5238.4384765625,37878801016,1,-0.10000000223517418,1.1200000040233136
77,2020-03-19,5245.41650390625,6329.73583984375,5236.96875,6191.19287109375,6191.19287109375,51000731797,1,-0.09000000208616257,1.1299999922513961
78,2020-03-20,6191.65380859375,6844.26171875,5865.78173828125,6198.7783203125,6198.7783203125,54442976103,1,-0.019999997317790986,0.9700000017881394
79,2020-03-21,6206.521484375,6378.13525390625,5932.8232421875,6185.06640625,6185.06640625,42494390880,1,-0.020000001043081285,0.8799999989569187
80,2020-03-22,6185.55810546875,6359.697265625,5823.7138671875,5830.2548828125,5830.2548828125,40099664740,0,0.11000000014901161,0.46999999731779096
81,2020-03-23,5831.37451171875,6443.9345703125,5785.00439453125,6416.31494140625,6416.31494140625,46491916000,0,0.009999999403953552,0.8300000108778477
82,2020-03-24,6436.642578125,6789.02294921875,6411.06640625,6734.8037109375,6734.8037109375,48221910672,1,-0.1000000037252903,0.8900000050663948
83,2020-03-25,6738.716796875,6892.51123046875,6536.92626953125,6681.06298828125,6681.06298828125,44590107888,1,-0.030000000447034835,1.0
84,2020-03-26,6675.1708984375,6735.4638671875,6590.962890625,6716.4404296875,6716.4404296875,35319797642,0,0.030000000447034835,0.9800000078976154
85,2020-03-27,6719.38916015625,6793.83642578125,6466.70166015625,6469.79833984375,6469.79833984375,34585598367,1,0.07999999895691871,1.2500000074505806
86,2020-03-28,6467.25390625,6467.5009765625,6117.837890625,6242.19384765625,6242.19384765625,34885225901,0,0.04999999850988388,0.780000002682209
87,2020-03-29,6245.62451171875,6250.46728515625,5920.0859375,5922.04296875,5922.04296875,28373690931,0,0.009999997913837433,1.369999986886978
88,2020-03-30,5925.53857421875,6517.19580078125,5903.234375,6429.841796875,6429.841796875,37101651525,0,0.09000000283122063,0.9899999961256981
89,2020-03-31,6430.6064453125,6504.51513671875,6374.162109375,6438.64453125,6438.64453125,32786468812,1,-0.04999999850988388,0.6199999935925007
90,2020-04-01,6437.3193359375,6612.57373046875,6202.37353515625,6606.7763671875,6606.7763671875,40346426266,1,0.040000001341104506,1.0000000089406966
91,2020-04-02,6606.7763671875,7088.24755859375,6595.91845703125,6793.62451171875,6793.62451171875,47660646124,1,-0.08000000268220901,1.2700000047683715
92,2020-04-03,6797.396484375,7003.220703125,6673.3359375,6733.38720703125,6733.38720703125,38976504903,1,0.06999999657273293,1.0400000020861626
93,2020-04-04,6738.3828125,6878.95361328125,6696.48486328125,6867.52734375,6867.52734375,33185988584,0,-0.2100000001490116,0.9800000108778477
94,2020-04-05,6862.53759765625,6883.4140625,6715.92919921875,6791.12939453125,6791.12939453125,29510409856,1,0.1300000011920929,1.0999999940395355
95,2020-04-06,6788.0498046875,7271.78125,6782.8896484375,7271.78125,7271.78125,46896904615,0,-2.2351741790771484e-09,0.720000010728836
96,2020-04-07,7273.64404296875,7427.939453125,7136.71435546875,7176.41455078125,7176.41455078125,44243482668,1,-0.059999997913837436,1.470000010728836
97,2020-04-08,7179.283203125,7356.2236328125,7153.3056640625,7334.0986328125,7334.0986328125,37563249549,0,-0.020000000298023225,1.0000000156462192
98,2020-04-09,7337.96630859375,7341.4482421875,7179.09423828125,7302.08935546875,7302.08935546875,34815139178,1,0.07000000178813934,0.8100000001490116
99,2020-04-10,7303.8154296875,7303.8154296875,6802.47509765625,6865.4931640625,6865.4931640625,43622840992,0,-0.07000000029802322,1.0200000084936618
100,2020-04-11,6867.4404296875,6926.06982421875,6789.9208984375,6859.0830078125,6859.0830078125,31222085946,0,0.020000003278255463,0.659999992698431
101,2020-04-12,6858.06787109375,7119.947265625,6811.078125,6971.091796875,6971.091796875,35759567632,0,0.12000000178813934,0.8000000067055225
102,2020-04-13,6965.61669921875,6965.61669921875,6668.259765625,6845.03759765625,6845.03759765625,38619308647,1,-0.04000000208616257,0.829999990016222
103,2020-04-14,6843.28173828125,6958.55712890625,6793.8212890625,6842.427734375,6842.427734375,34110434052,0,0.11000000387430191,0.8100000128149987
104,2020-04-15,6845.5615234375,6928.66455078125,6633.40283203125,6642.10986328125,6642.10986328125,32288311031,1,0.2,0.9299999997019768
105,2020-04-16,6640.4541015625,7134.45068359375,6555.50439453125,7116.80419921875,7116.80419921875,46783242377,0,-0.04000000059604645,0.7000000171363354
106,2020-04-17,7116.552734375,7167.18310546875,7050.33203125,7096.1845703125,7096.1845703125,32513423567,1,0.06000000014901161,1.4600000023841857
107,2020-04-18,7092.29150390625,7269.95654296875,7089.2470703125,7257.6650390625,7257.6650390625,32447188386,0,0.020000004023313523,0.8900000154972076
108,2020-04-19,7260.92236328125,7280.52197265625,7167.0546875,7189.4248046875,7189.4248046875,31311210215,1,-0.11000000163912774,0.7900000102818012
109,2020-04-20,7186.87353515625,7240.29052734375,6835.5029296875,6881.95849609375,6881.95849609375,37747113936,0,-0.10000000149011612,1.0300000071525575
110,2020-04-21,6879.7841796875,6934.5517578125,6834.4423828125,6880.3232421875,6880.3232421875,32589741511,0,-0.030000000447034835,0.8099999859929085
111,2020-04-22,6879.4404296875,7145.86572265625,6867.78173828125,7117.20751953125,7117.20751953125,33249153866,0,0.05000000223517418,0.860000005364418
112,2020-04-23,7121.30615234375,7491.78515625,7081.5947265625,7429.724609375,7429.724609375,43500782316,1,-0.07000000029802322,0.830000002682209
113,2020-04-24,7434.181640625,7574.19580078125,7434.181640625,7550.90087890625,7550.90087890625,34636526286,1,-0.2600000001490116,1.520000012218952
114,2020-04-25,7550.48291015625,7641.36376953125,7521.67236328125,7569.93603515625,7569.93603515625,32941541447,1,7.450580596923829e-10,0.8299999989569187
115,2020-04-26,7570.13916015625,7700.59423828125,7561.40771484375,7679.8671875,7679.8671875,33070154491,1,0.13000000342726709,0.5999999918043614
116,2020-04-27,7679.4189453125,7795.60107421875,7679.4189453125,7795.60107421875,7795.60107421875,36162144725,1,0.020000001043081285,0.8099999956786632
117,2020-04-28,7796.97021484375,7814.52734375,7730.806640625,7807.05859375,7807.05859375,33187959921,1,0.19000000432133674,1.1499999970197679
118,2020-04-29,7806.71240234375,8871.75390625,7786.04931640625,8801.0380859375,8801.0380859375,60201052203,1,-0.25000000596046446,1.0800000242888927
119,2020-04-30,8797.669921875,9440.650390625,8533.255859375,8658.5537109375,8658.5537109375,66964629541,1,0.15000000074505807,0.9900000102818012
120,2020-05-01,8672.7822265625,9048.0234375,8667.763671875,8864.7666015625,8864.7666015625,44068389997,0,-0.020000001043081285,1.0800000078976155
121,2020-05-02,8869.0576171875,9007.1875,8811.3662109375,8988.5966796875,8988.5966796875,40134388683,1,0.13000000193715094,1.2400000058114529
122,2020-05-03,8983.6142578125,9167.78125,8830.9716796875,8897.46875,8897.46875,47101785174,1,-0.04999999925494194,1.189999993145466
123,2020-05-04,8895.7451171875,8956.90625,8645.0244140625,8912.654296875,8912.654296875,45718796276,0,0.04000000059604645,1.2500000104308129
124,2020-05-05,8912.83203125,9062.4150390625,8856.8271484375,9003.0703125,9003.0703125,43148462663,1,-0.030000000447034835,0.4599999971687794
125,2020-05-06,9007.44140625,9411.4677734375,8966.7060546875,9268.76171875,9268.76171875,49371886931,1,0.05000000074505806,1.0899999849498272
126,2020-05-07,9261.8955078125,9992.6640625,9138.322265625,9951.5185546875,9951.5185546875,61112700562,1,0.06000000238418579,0.7100000008940697
127,2020-05-08,9936.162109375,9996.7431640625,9767.1728515625,9842.666015625,9842.666015625,51780748042,1,0.08000000044703484,0.9999999962747097
128,2020-05-09,9840.90625,9913.86328125,9580.64453125,9593.896484375,9593.896484375,46566121841,0,0.14000000208616256,0.76000000461936
129,2020-05-10,9591.1689453125,9595.5810546875,8395.107421875,8756.4306640625,8756.4306640625,63325279337,0,0.020000001043081285,1.3899999886751175
130,2020-05-11,8755.53515625,9033.470703125,8374.3232421875,8601.7958984375,8601.7958984375,57119858802,0,0.3100000023841858,1.2300000041723251
131,2020-05-12,8610.3857421875,8949.8984375,8569.6435546875,8804.4775390625,8804.4775390625,42142717533,0,-0.03999999612569809,1.6399999618530274
132,2020-05-13,8805.3876953125,9317.87890625,8805.3876953125,9269.9873046875,9269.9873046875,45558144023,1,0.009999999403953552,0.7500000149011612
133,2020-05-14,9271.3291015625,9793.2685546875,9255.03515625,9733.7216796875,9733.7216796875,56426907637,1,0.11000000089406967,1.270000010728836
134,2020-05-15,9734.291015625,9755.828125,9261.3984375,9328.197265625,9328.197265625,48158802327,1,-0.10000000149011612,1.0300000138580798
135,2020-05-16,9333.240234375,9564.205078125,9260.6943359375,9377.013671875,9377.013671875,36164766408,0,-0.0800000011920929,1.3400000251829625
136,2020-05-17,9374.9296875,9823.001953125,9349.5458984375,9670.7392578125,9670.7392578125,40084250663,1,-0.04999999776482582,0.8299999922513962
137,2020-05-18,9675.6953125,9906.0302734375,9570.359375,9726.5751953125,9726.5751953125,41827139896,1,-0.009999997168779372,1.4600000001490117
138,2020-05-19,9727.0634765625,9836.0478515625,9539.6240234375,9729.0380859375,9729.0380859375,39254288955,1,0.010000000149011612,0.8700000144541263
139,2020-05-20,9725.3291015625,9804.7939453125,9447.201171875,9522.9814453125,9522.9814453125,36546239703,0,0.1100000023841858,0.6599999994039536
140,2020-05-21,9522.740234375,9555.2421875,8869.9306640625,9081.76171875,9081.76171875,39326160532,0,0.08999999985098839,1.2700000166893006
141,2020-05-22,9080.3349609375,9232.9365234375,9008.638671875,9182.5771484375,9182.5771484375,29810773699,0,0.030000004917383194,0.9799999967217445
142,2020-05-23,9185.0625,9302.501953125,9118.1083984375,9209.287109375,9209.287109375,27727866812,1,-0.17999999970197678,1.3700000144541264
143,2020-05-24,9212.283203125,9288.404296875,8787.2509765625,8790.3681640625,8790.3681640625,32518803300,1,-0.010000000894069671,1.0399999916553497
144,2020-05-25,8786.107421875,8951.005859375,8719.66796875,8906.9345703125,8906.9345703125,31288157264,0,-0.10000000223517418,1.1500000059604645
145,2020-05-26,8909.5859375,8991.9677734375,8757.2939453125,8835.052734375,8835.052734375,29584186947,1,0.180000002682209,0.7500000037252903
146,2020-05-27,8837.380859375,9203.3203125,8834.1572265625,9181.017578125,9181.017578125,32740536902,0,-0.15000000223517418,1.3199999898672103
147,2020-05-28,9184.9453125,9546.3193359375,9148.45703125,9525.7509765625,9525.7509765625,34367073114,1,0.020000001043081285,1.2799999982118606
148,2020-05-29,9528.35546875,9573.6669921875,9379.3388671875,9439.1240234375,9439.1240234375,32896642044,1,-0.05000000074505806,0.6700000092387199
149,2020-05-30,9438.9140625,9704.0302734375,9366.7294921875,9700.4140625,9700.4140625,32722975141,0,-0.08000000044703484,0.9200000092387199
150,2020-05-31,9700.10546875,9700.34375,9432.296875,9461.05859375,9461.05859375,27773290299,1,-0.009999999403953552,0.8100000038743019
151,2020-06-01,9463.60546875,10199.5654296875,9450.8994140625,10167.2685546875,10167.2685546875,35198901068,0,-0.019999998807907104,0.5200000092387199
152,2020-06-02,10162.9736328125,10182.3408203125,9460.5712890625,9529.8037109375,9529.8037109375,39137252109,1,-0.05000000149011612,0.9500000067055225
153,2020-06-03,9533.7607421875,9682.859375,9471.8466796875,9656.7177734375,9656.7177734375,25007459262,0,-0.02999999448657036,0.8800000049173832
154,2020-06-04,9655.8544921875,9887.6103515625,9525.2470703125,9800.63671875,9800.63671875,25921805072,1,2.2351741790771484e-09,1.180000004917383
155,2020-06-05,9800.2158203125,9869.2373046875,9663.216796875,9665.533203125,9665.533203125,23509628646,1,-7.450580596923829e-10,1.0900000154972076
156,2020-06-06,9664.904296875,9773.431640625,9591.0244140625,9653.6796875,9653.6796875,20438419222,0,0.060000001639127734,0.9599999919533729
157,2020-06-07,9653.0029296875,9768.498046875,9458.150390625,9758.8525390625,9758.8525390625,25015250846,0,-0.030000001192092896,0.7399999983608723
158,2020-06-08,9760.0634765625,9782.306640625,9675.8857421875,9771.4892578125,9771.4892578125,21486346312,1,0.04000000208616257,0.9600000113248826
159,2020-06-09,9774.3603515625,9836.369140625,9664.7197265625,9795.7001953125,9795.7001953125,23717842783,1,0.19000000208616258,1.019999985396862
160,2020-06-10,9794.119140625,9908.896484375,9728.291015625,9870.0947265625,9870.0947265625,25706567601,1,0.08000000193715096,1.2199999958276748
161,2020-06-11,9870.078125,9938.2978515625,9263.0693359375,9321.78125,9321.78125,30247143440,1,-0.05000000298023224,1.340000008046627
162,2020-06-12,9320.6904296875,9540.4658203125,9285.8515625,9480.84375,9480.84375,22610564515,0,0.09000000208616257,0.41000000238418577
